words,counts
trump,1497
idiot,1267
stupid,1152
like,1057
people,1048
one,754
get,737
would,707
dont,684
know,533
think,507
time,507
right,478
go,440
need,440
make,431
say,422
youre,405
fool,391
year,391
ignorant,379
even,375
thing,365
want,356
see,349
way,339
president,333
really,325
country,323
good,321
cant,313
liberal,303
many,302
never,302
much,289
comment,288
state,284
going,279
im,279
white,279
another,276
well,276
left,273
man,267
nothing,265
fact,261
thats,261
let,256
he,256
dumb,256
moron,255
could,255
world,252
government,249
guy,248
tax,248
take,247
money,245
look,244
day,240
every,233
said,224
back,223
stupidity,223
loser,223
come,222
obama,218
still,215
american,215
life,215
vote,208
also,205
keep,204
woman,200
stop,197
doesnt,196
put,195
job,194
little,191
lie,191
anything,191
better,190
work,189
give,189
pathetic,189
anyone,189
liar,188
problem,186
enough,185
republican,185
post,184
real,184
clown,183
didnt,183
someone,182
ever,181
care,179
canada,178
made,178
pay,177
believe,176
first,174
always,173
hillary,173
something,170
troll,169
racist,168
person,165
old,165
ridiculous,163
black,163
last,162
actually,162
show,161
bad,160
party,160
call,160
law,158
mean,157
america,157
point,156
public,154
two,153
kill,153
sure,153
new,153
far,152
yes,148
issue,148
house,147
crap,146
hypocrite,144
must,144
word,144
wrong,144
news,143
damn,143
clinton,143
without,142
kind,142
away,142
great,142
name,142
lot,141
use,141
yet,139
support,139
got,137
maybe,137
since,137
democrat,136
big,136
child,136
business,135
jerk,134
oh,134
ignorance,134
as,133
tell,133
love,132
family,131
done,131
may,131
help,131
read,130
trudeau,130
try,129
hope,128
kid,128
making,127
called,127
million,126
corrupt,125
around,125
election,125
change,125
trying,125
hate,125
isnt,124
long,123
silly,123
article,123
thought,123
best,122
feel,121
muslim,120
medium,119
political,119
matter,118
garbage,118
leader,118
donald,118
already,117
course,116
canadian,115
conservative,115
free,115
lying,115
everyone,114
school,113
office,112
gun,112
war,112
human,111
sad,110
please,110
run,110
might,109
part,109
head,108
shit,108
least,108
etc,108
fuck,107
either,107
bunch,107
le,106
mr,106
else,105
guess,105
cannot,104
city,104
end,103
understand,103
instead,103
idiotic,102
dog,102
others,102
live,102
next,101
find,101
trash,101
power,100
complete,100
place,100
true,99
agree,99
elected,98
god,98
poor,97
system,97
probably,96
full,96
act,95
voter,95
voted,95
theyre,94
alaska,93
history,92
ill,92
cut,92
citizen,91
reason,91
high,91
seems,91
nonsense,90
getting,90
nation,90
order,90
home,90
fix,90
hand,89
deal,89
rest,89
death,89
bill,89
mind,89
saying,89
useless,88
